Date,True Values,Predicted Values
2020-04-06,4.99,5.083096
2020-04-07,5.04,5.1522346
2020-04-08,5.1,5.155394
2020-04-09,5.2,5.294238
2020-04-10,5.22,5.334885
2020-04-13,5.28,5.3418427
2020-04-14,5.37,5.435539
2020-04-15,5.7,5.6236687
2020-04-16,5.85,5.858157
2020-04-17,5.88,5.975631
2020-04-20,5.73,5.9753523
2020-04-21,5.73,5.825653
2020-04-22,5.74,5.8245735
2020-04-23,5.8,5.868595
2020-04-24,5.78,5.895632
2020-04-27,5.75,5.865104
2020-04-28,5.77,5.8621836
2020-04-29,5.8,5.8940473
2020-04-30,5.95,5.986288
2020-05-04,5.95,6.0154915
2020-05-05,5.96,6.039336
2020-05-06,5.95,6.03154
2020-05-08,5.98,6.0437336
2020-05-12,5.97,6.041587
2020-05-13,5.99,6.0453515
2020-05-14,6.49,6.2539907
2020-05-15,6.63,6.614996
2020-05-18,7.5,7.0033245
2020-05-19,7.35,7.6283603
2020-05-20,7.49,7.342676
2020-05-21,7.75,7.6199656
2020-05-22,7.8,7.7460556
2020-05-27,7.8,7.80704
2020-05-28,7.73,7.7992096
2020-05-29,7.65,7.6694703
2020-06-02,7.65,7.396386
2020-06-03,8.29,8.349612
2020-06-04,8.4,8.307941
2020-06-05,8.34,8.302747
2020-06-09,8.37,8.310836
2020-06-10,8.38,8.280724
2020-06-11,8.33,8.269096
2020-06-12,8.19,8.003468
2020-06-15,7.9,8.002684
2020-06-16,8.0,7.9659853
2020-06-17,7.9,7.958109
2020-06-18,7.43,7.7048364
2020-06-19,7.34,7.353374
2020-06-22,7.22,7.2671304
2020-06-23,7.2,7.2005243
2020-06-24,7.29,7.217613
2020-06-25,7.28,7.2065754
2020-06-26,7.28,7.275694
2020-06-29,7.28,7.232262
2020-06-30,7.28,7.299354
2020-07-01,7.32,7.30173
2020-07-02,7.75,7.4843655
2020-07-03,7.82,7.828718
2020-07-06,7.87,7.845941
2020-07-07,7.97,7.883128
2020-07-08,8.0,7.9891787
2020-07-09,8.52,8.202691
2020-07-10,8.35,8.382291
2020-07-13,8.4,8.359418
2020-07-14,8.35,8.3096895
2020-07-15,8.35,8.2847595
2020-07-16,8.6,8.4678545
2020-07-17,9.15,8.692691
2020-07-20,9.75,9.567925
2020-07-21,9.9,9.814212
2020-07-22,9.71,9.779813
2020-07-23,9.8,9.739106
2020-07-24,9.8,9.793695
2020-07-27,10.42,9.840716
2020-07-28,10.04,9.889619
2020-07-29,9.6,9.79391
2020-07-30,9.29,9.458819
2020-08-03,9.6,9.38444
2020-08-04,9.95,9.668305
2020-08-05,10.6,9.880996
2020-08-06,10.44,9.900554
2020-08-07,10.36,9.889377
2020-08-10,10.34,9.880528
2020-08-11,10.2,9.87795
2020-08-12,9.9,9.826408
2020-08-13,9.57,9.687552
2020-08-14,9.45,9.396202
2020-08-17,9.5,9.36794
2020-08-18,10.0,9.737674
2020-08-19,10.0,9.811401
2020-08-21,9.94,9.801316
2020-08-24,9.83,9.788275
2020-08-25,9.65,9.70671
2020-08-26,9.75,9.693927
2020-08-27,9.65,9.677213
2020-08-28,9.69,9.637844
2020-09-01,9.6,9.630395
2020-09-02,9.58,9.581744
2020-09-03,9.55,9.572233
2020-09-04,9.5,9.347787
2020-09-07,9.34,9.357647
2020-09-08,8.81,9.076329
2020-09-09,8.43,8.540227
2020-09-10,8.1,8.3358345
2020-09-11,8.79,8.304071
2020-09-14,8.6,8.777458
2020-09-15,8.66,8.574824
2020-09-17,8.6,8.526542
2020-09-18,8.7,8.548764
2020-09-21,8.59,8.5434675
2020-09-22,8.49,8.397361
2020-09-23,8.43,8.375489
2020-09-24,8.36,8.260614
2020-09-25,8.56,8.397843
2020-09-28,8.56,8.500336
2020-09-29,8.59,8.50611
2020-09-30,8.48,8.46199
2020-10-01,8.3,8.38875
2020-10-02,8.36,8.263784
2020-10-05,8.5,8.338214
2020-10-06,8.42,8.395096
2020-10-07,8.45,8.315877
2020-10-08,8.37,8.337731
2020-10-09,8.45,8.329722
